name,category,asr_model,genai_model,sum_num_words,coverage
hartziekten,Dokter Patient,gt,transcript_GPT-5.4 high,466,0.3969957081545064
neurologie,Dokter Patient,gt,transcript_GPT-5.4 high,525,0.44761904761904764
oncologie,Dokter Patient,gt,transcript_GPT-5.4 high,577,0.3708838821490468
GGZ-exposure-therapie,interviews,gt,transcript_GPT-5.4 high,661,0.653555219364599
hulpverleners,interviews,gt,transcript_GPT-5.4 high,673,0.799405646359584
interview-113,interviews,gt,transcript_GPT-5.4 high,586,0.7184300341296929
ouder-worden-2040,interviews,gt,transcript_GPT-5.4 high,612,0.7173202614379085
ouderen-zorg,interviews,gt,transcript_GPT-5.4 high,883,0.6625141562853907
seksuele-voorlichting,interviews,gt,transcript_GPT-5.4 high,688,0.7107558139534884
verzorgings-staat,interviews,gt,transcript_GPT-5.4 high,964,0.6939834024896265
angststoornis,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,464,0.43103448275862066
antidepressiva,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,687,0.4366812227074236
baan,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,910,0.45274725274725275
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,775,0.5277419354838709
misbruik,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,732,0.3592896174863388
studie,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,621,0.45893719806763283
vrijheden,Psychologische gespreksvoering,gt,transcript_GPT-5.4 high,744,0.41801075268817206
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,498,0.4939759036144578
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,237,0.3206751054852321
auto-immuunziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,443,0.46952595936794583
bewegingsapparaat,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,498,0.43775100401606426
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,425,0.45647058823529413
hartziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,498,0.40562248995983935
neurologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,553,0.47377938517179025
oncologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,492,0.43089430894308944
GGZ-exposure-therapie,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,652,0.6702453987730062
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,721,0.7628294036061026
interview-113,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,538,0.7118959107806692
ouder-worden-2040,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,584,0.7328767123287672
ouderen-zorg,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,801,0.6529338327091136
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,737,0.6906377204884667
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,395,0.4177215189873418
antidepressiva,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,573,0.44851657940663175
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,688,0.44476744186046513
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,760,0.4881578947368421
misbruik,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,706,0.3611898016997167
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,620,0.44516129032258067
vrijheden,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,655,0.4183206106870229
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,613,0.4828711256117455
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,295,0.3050847457627119
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,658,0.42857142857142855
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,642,0.3878504672897196
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,574,0.39547038327526135
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,388,0.38917525773195877
neurologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,506,0.4743083003952569
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,453,0.46357615894039733
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,573,0.680628272251309
hulpverleners,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,671,0.7853949329359166
interview-113,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,543,0.6666666666666666
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,585,0.694017094017094
ouderen-zorg,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,751,0.6391478029294274
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,679,0.6907216494845361
verzorgings-staat,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,666,0.6921921921921922
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,414,0.4444444444444444
antidepressiva,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,511,0.4657534246575342
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,692,0.4508670520231214
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,747,0.5528781793842035
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,648,0.39814814814814814
studie,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,572,0.5052447552447552
vrijheden,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,654,0.3654434250764526
abdomen,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,572,0.49125874125874125
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,331,0.30513595166163143
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,433,0.43187066974595845
bewegingsapparaat,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,473,0.427061310782241
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,407,0.48402948402948404
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,433,0.39260969976905313
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,476,0.5126050420168067
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,506,0.41106719367588934
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,490,0.6877551020408164
hulpverleners,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,621,0.7938808373590982
interview-113,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,542,0.6992619926199262
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,573,0.6788830715532286
ouderen-zorg,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,721,0.6352288488210819
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,680,0.6455882352941177
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,677,0.6868537666174298
angststoornis,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,486,0.41358024691358025
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,608,0.45230263157894735
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,815,0.43190184049079755
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,791,0.47661188369152974
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,724,0.35497237569060774
studie,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,719,0.4756606397774687
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,762,0.4015748031496063
abdomen,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,477,0.570230607966457
ademhaling,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,235,0.34893617021276596
auto-immuunziekten,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,485,0.5092783505154639
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,515,0.45048543689320386
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,398,0.41959798994974873
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,444,0.42342342342342343
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,571,0.4903677758318739
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,525,0.44571428571428573
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,618,0.6909385113268608
hulpverleners,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,753,0.7888446215139442
interview-113,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,639,0.672926447574335
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,587,0.6439522998296422
ouderen-zorg,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,672,0.6547619047619048
seksuele-voorlichting,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,563,0.6998223801065719
verzorgings-staat,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,556,0.6654676258992805
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,488,0.4323770491803279
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,649,0.4576271186440678
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,837,0.4336917562724014
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,860,0.5674418604651162
misbruik,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,714,0.4061624649859944
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,782,0.44501278772378516
vrijheden,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,767,0.41851368970013036
